Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
93,https://jo-katsu.com/campus/26719/,19,3169,0.60,4.0,7.0,+6.40,202,203
94,https://jo-katsu.com/campus/24812/,27,2287,1.18,3.1,10.0,+8.82,201,202
95,https://jo-katsu.com/campus/5377/,2,2820,0.07,3.6,7.0,+6.93,195,195
96,https://jo-katsu.com/campus/23824/,23,2178,1.06,3.1,10.0,+8.94,194,195
97,https://jo-katsu.com/campus/24314/,90,5690,1.58,4.9,5.0,+3.42,194,195
98,https://jo-katsu.com/campus/37254,175,5211,3.36,3.8,7.0,+3.64,189,190
99,https://jo-katsu.com/campus/4659/,40,4557,0.88,4.6,5.0,+4.12,187,188
100,https://jo-katsu.com/campus/24356/,23,5204,0.44,5.6,4.0,+3.56,185,185
101,https://jo-katsu.com/campus/26746/,12,3932,0.31,5.3,5.0,+4.69,184,184
102,https://jo-katsu.com/campus/8117/,7,2720,0.26,4.2,7.0,+6.74,183,183
103,https://jo-katsu.com/campus/6105/,24,2921,0.82,3.9,7.0,+6.18,180,181
104,https://jo-katsu.com/campus/11364/,84,3762,2.23,4.4,7.0,+4.77,179,179
105,https://jo-katsu.com/campus/4567/,65,3454,1.88,3.9,7.0,+5.12,176,177
106,https://jo-katsu.com/campus/2263/,9,1842,0.49,3.0,10.0,+9.51,175,175
107,https://jo-katsu.com/campus/6275/,22,6556,0.34,7.3,3.0,+2.66,174,174
108,https://jo-katsu.com/campus/24333/,321,7058,4.55,4.1,7.0,+2.45,173,173
109,https://jo-katsu.com/campus/4834/,61,5811,1.05,5.7,4.0,+2.95,171,171
110,https://jo-katsu.com/campus/35044,90,5218,1.72,4.9,5.0,+3.28,170,171
111,https://jo-katsu.com/campus/36903,23,1929,1.19,3.0,10.0,+8.81,169,170
112,https://jo-katsu.com/campus/24068/,33,2899,1.14,4.3,7.0,+5.86,169,170
113,https://jo-katsu.com/campus/24931/,102,3880,2.63,3.9,7.0,+4.37,169,170
114,https://jo-katsu.com/campus/10466/,45,2978,1.51,4.2,7.0,+5.49,163,163
115,https://jo-katsu.com/campus/10550/,62,3214,1.93,4.4,7.0,+5.07,162,163
116,https://jo-katsu.com/campus/16648/,34,6517,0.52,6.7,3.0,+2.48,161,162
117,https://jo-katsu.com/campus/9917/,17,2545,0.67,4.1,7.0,+6.33,161,161
118,https://jo-katsu.com/campus/4899/,25,4622,0.54,6.1,4.0,+3.46,159,160
119,https://jo-katsu.com/campus/33282,134,5866,2.28,4.7,5.0,+2.72,159,160
